Region,Suburb,Value,Date,Measure
Inner Melbourne,Albert Park-Middle Park-West St Kilda,1143.0,,Mar 2000||Count
,Armadale,733.0,,Mar 2000||Count
,Carlton North,864.0,,Mar 2000||Count
,Carlton-Parkville,1303.0,,Mar 2000||Count
,CBD-St Kilda Rd,2131.0,,Mar 2000||Count
,Collingwood-Abbotsford,652.0,,Mar 2000||Count
,Docklands,,,Mar 2000||Count
,East Melbourne,494.0,,Mar 2000||Count
,East St Kilda,1761.0,,Mar 2000||Count
,Elwood,1745.0,,Mar 2000||Count
,Fitzroy,618.0,,Mar 2000||Count
,Fitzroy North-Clifton Hill,1121.0,,Mar 2000||Count
,Flemington-Kensington,986.0,,Mar 2000||Count
,North Melbourne-West Melbourne,936.0,,Mar 2000||Count
,Port Melbourne,744.0,,Mar 2000||Count
,Prahran-Windsor,1670.0,,Mar 2000||Count
,Richmond-Burnley,1956.0,,Mar 2000||Count
,South Melbourne,538.0,,Mar 2000||Count
,South Yarra,2410.0,,Mar 2000||Count
,Southbank,602.0,,Mar 2000||Count
,St Kilda,2550.0,,Mar 2000||Count
,Toorak,925.0,,Mar 2000||Count
,Group Total,25891.0,,Mar 2000||Count
Inner Eastern Melbourne,Balwyn,824.0,,Mar 2000||Count
,Blackburn,647.0,,Mar 2000||Count
,Box Hill,1247.0,,Mar 2000||Count
,Bulleen-Templestowe-Doncaster,1056.0,,Mar 2000||Count
,Burwood-Ashburton,662.0,,Mar 2000||Count
,Camberwell-Glen Iris,1513.0,,Mar 2000||Count
,Canterbury-Surrey Hills-Mont Albert,699.0,,Mar 2000||Count
,Chadstone-Oakleigh,846.0,,Mar 2000||Count
,Clayton,1243.0,,Mar 2000||Count
,Doncaster East-Donvale,825.0,,Mar 2000||Count
,East Hawthorn,761.0,,Mar 2000||Count
,Glen Waverley-Mulgrave,1408.0,,Mar 2000||Count
,Hawthorn,1625.0,,Mar 2000||Count
,Kew,1250.0,,Mar 2000||Count
,Mount Waverley,702.0,,Mar 2000||Count
,Nunawading-Mitcham,723.0,,Mar 2000||Count
,Vermont-Forest Hill-Burwood East,675.0,,Mar 2000||Count
,Group Total,16706.0,,Mar 2000||Count
Southern Melbourne,Aspendale-Chelsea-Carrum,1420.0,,Mar 2000||Count
,Bentleigh,1409.0,,Mar 2000||Count
,Brighton,747.0,,Mar 2000||Count
,Brighton East,352.0,,Mar 2000||Count
,Carnegie,988.0,,Mar 2000||Count
,Caulfield,1653.0,,Mar 2000||Count
,Cheltenham,1262.0,,Mar 2000||Count
,Elsternwick,581.0,,Mar 2000||Count
,Hampton-Beaumaris,840.0,,Mar 2000||Count
,Malvern,447.0,,Mar 2000||Count
,Malvern East,733.0,,Mar 2000||Count
,Mentone-Parkdale-Mordialloc,1189.0,,Mar 2000||Count
,Murrumbeena-Hughesdale,788.0,,Mar 2000||Count
,Group Total,12409.0,,Mar 2000||Count
Outer Western Melbourne,Altona,1468.0,,Mar 2000||Count
,Footscray,761.0,,Mar 2000||Count
,Keilor East-Avondale Heights,611.0,,Mar 2000||Count
,Melton,664.0,,Mar 2000||Count
,Newport-Spotswood,656.0,,Mar 2000||Count
,St Albans-Deer Park,1246.0,,Mar 2000||Count
,Sunshine,978.0,,Mar 2000||Count
,Sydenham,547.0,,Mar 2000||Count
,Werribee-Hoppers Crossing,1716.0,,Mar 2000||Count
,West Footscray,721.0,,Mar 2000||Count
,Williamstown,558.0,,Mar 2000||Count
,Yarraville-Seddon,935.0,,Mar 2000||Count
,Group Total,10861.0,,Mar 2000||Count
North Western Melbourne,Broadmeadows-Roxburgh Park,619.0,,Mar 2000||Count
,Brunswick,1779.0,,Mar 2000||Count
,Coburg-Pascoe Vale South,959.0,,Mar 2000||Count
,Craigieburn,225.0,,Mar 2000||Count
,East Brunswick,395.0,,Mar 2000||Count
,Essendon,1531.0,,Mar 2000||Count
,Gladstone Park-Tullamarine,498.0,,Mar 2000||Count
,Keilor,63.0,,Mar 2000||Count
,Moonee Ponds-Ascot Vale,1192.0,,Mar 2000||Count
,Oak Park-Glenroy-Fawkner,1066.0,,Mar 2000||Count
,Pascoe Vale-Coburg North,643.0,,Mar 2000||Count
,Sunbury,547.0,,Mar 2000||Count
,West Brunswick,790.0,,Mar 2000||Count
,Group Total,10307.0,,Mar 2000||Count
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,1492.0,,Mar 2000||Count
,Eltham-Research-Montmorency,715.0,,Mar 2000||Count
,Fairfield-Alphington,675.0,,Mar 2000||Count
,Heidelberg-Heidelberg West,834.0,,Mar 2000||Count
,Ivanhoe-Ivanhoe East,532.0,,Mar 2000||Count
,Mill Park-Epping,934.0,,Mar 2000||Count
,Northcote,998.0,,Mar 2000||Count
,Preston,1045.0,,Mar 2000||Count
,Reservoir,1401.0,,Mar 2000||Count
,Thomastown-Lalor,717.0,,Mar 2000||Count
,Thornbury,1174.0,,Mar 2000||Count
,Whittlesea,67.0,,Mar 2000||Count
,Group Total,10584.0,,Mar 2000||Count
Outer Eastern Melbourne,Bayswater,529.0,,Mar 2000||Count
,Boronia,593.0,,Mar 2000||Count
,Croydon-Lilydale,1767.0,,Mar 2000||Count
,Ferntree Gully,439.0,,Mar 2000||Count
,Ringwood,1266.0,,Mar 2000||Count
,Rowville,348.0,,Mar 2000||Count
,Wantirna-Scoresby,664.0,,Mar 2000||Count
,Yarra Ranges,1294.0,,Mar 2000||Count
,Group Total,6900.0,,Mar 2000||Count
South Eastern Melbourne,Berwick,722.0,,Mar 2000||Count
,Cranbourne,856.0,,Mar 2000||Count
,Dandenong,1475.0,,Mar 2000||Count
,Dandenong North-Endeavour Hills,1052.0,,Mar 2000||Count
,Narre Warren-Hampton Park,1128.0,,Mar 2000||Count
,Noble Park,1303.0,,Mar 2000||Count
,Pakenham,723.0,,Mar 2000||Count
,Springvale,1247.0,,Mar 2000||Count
,Group Total,8506.0,,Mar 2000||Count
Mornington Peninsula,Dromana-Portsea,1205.0,,Mar 2000||Count
,Frankston,2126.0,,Mar 2000||Count
,Hastings-Flinders,807.0,,Mar 2000||Count
,Mt Eliza-Mornington-Mt Martha,1267.0,,Mar 2000||Count
,Seaford-Carrum Downs,1022.0,,Mar 2000||Count
,Group Total,6427.0,,Mar 2000||Count
Geelong,Belmont-Grovedale,1236.0,,Mar 2000||Count
,Corio,592.0,,Mar 2000||Count
,Geelong-Newcombe,1064.0,,Mar 2000||Count
,Herne Hill-Geelong West,813.0,,Mar 2000||Count
,Lara,310.0,,Mar 2000||Count
,Newtown,446.0,,Mar 2000||Count
,North Geelong,464.0,,Mar 2000||Count
,Group Total,4925.0,,Mar 2000||Count
Ballarat,Ballarat,995.0,,Mar 2000||Count
,Mount Clear-Buninyong,1131.0,,Mar 2000||Count
,Sebastopol-Delacombe,464.0,,Mar 2000||Count
,Wendouree-Alfredton,752.0,,Mar 2000||Count
,Group Total,3342.0,,Mar 2000||Count
Bendigo,Bendigo,761.0,,Mar 2000||Count
,Flora Hill-Bendigo East,919.0,,Mar 2000||Count
,Golden Square-Kangaroo Flat,506.0,,Mar 2000||Count
,North Bendigo,534.0,,Mar 2000||Count
,Group Total,2720.0,,Mar 2000||Count
Other Regional Centres,Bairnsdale,339.0,,Mar 2000||Count
,Benalla,367.0,,Mar 2000||Count
,Castlemaine,261.0,,Mar 2000||Count
,Echuca,524.0,,Mar 2000||Count
,Hamilton,344.0,,Mar 2000||Count
,Horsham,645.0,,Mar 2000||Count
,Mildura,1198.0,,Mar 2000||Count
,Moe-Newborough,526.0,,Mar 2000||Count
,Morwell,557.0,,Mar 2000||Count
,Ocean Grove-Barwon Heads,402.0,,Mar 2000||Count
,Portland,429.0,,Mar 2000||Count
,Sale-Maffra,768.0,,Mar 2000||Count
,Seymour,249.0,,Mar 2000||Count
,Shepparton,1742.0,,Mar 2000||Count
,Swan Hill,421.0,,Mar 2000||Count
,Torquay,388.0,,Mar 2000||Count
,Traralgon,851.0,,Mar 2000||Count
,Wanagaratta,705.0,,Mar 2000||Count
,Warragul,385.0,,Mar 2000||Count
,Warrnambool,1266.0,,Mar 2000||Count
,Wodonga,1446.0,,Mar 2000||Count
,Group Total,13813.0,,Mar 2000||Count
Inner Melbourne,Albert Park-Middle Park-West St Kilda,260.0,,Mar 2000||Median
,Armadale,200.0,,Mar 2000||Median
,Carlton North,260.0,,Mar 2000||Median
,Carlton-Parkville,251.0,,Mar 2000||Median
,CBD-St Kilda Rd,320.0,,Mar 2000||Median
,Collingwood-Abbotsford,230.0,,Mar 2000||Median
,Docklands,,,Mar 2000||Median
,East Melbourne,265.0,,Mar 2000||Median
,East St Kilda,180.0,,Mar 2000||Median
,Elwood,199.0,,Mar 2000||Median
,Fitzroy,250.0,,Mar 2000||Median
,Fitzroy North-Clifton Hill,240.0,,Mar 2000||Median
,Flemington-Kensington,210.0,,Mar 2000||Median
,North Melbourne-West Melbourne,230.0,,Mar 2000||Median
,Port Melbourne,335.0,,Mar 2000||Median
,Prahran-Windsor,220.0,,Mar 2000||Median
,Richmond-Burnley,240.0,,Mar 2000||Median
,South Melbourne,285.0,,Mar 2000||Median
,South Yarra,230.0,,Mar 2000||Median
,Southbank,330.0,,Mar 2000||Median
,St Kilda,200.0,,Mar 2000||Median
,Toorak,250.0,,Mar 2000||Median
,Group Total,240.0,,Mar 2000||Median
Inner Eastern Melbourne,Balwyn,240.0,,Mar 2000||Median
,Blackburn,195.0,,Mar 2000||Median
,Box Hill,184.0,,Mar 2000||Median
,Bulleen-Templestowe-Doncaster,220.0,,Mar 2000||Median
,Burwood-Ashburton,205.0,,Mar 2000||Median
,Camberwell-Glen Iris,220.0,,Mar 2000||Median
,Canterbury-Surrey Hills-Mont Albert,235.0,,Mar 2000||Median
,Chadstone-Oakleigh,190.0,,Mar 2000||Median
,Clayton,175.0,,Mar 2000||Median
,Doncaster East-Donvale,220.0,,Mar 2000||Median
,East Hawthorn,200.0,,Mar 2000||Median
,Glen Waverley-Mulgrave,208.0,,Mar 2000||Median
,Hawthorn,190.0,,Mar 2000||Median
,Kew,245.0,,Mar 2000||Median
,Mount Waverley,205.0,,Mar 2000||Median
,Nunawading-Mitcham,175.0,,Mar 2000||Median
,Vermont-Forest Hill-Burwood East,200.0,,Mar 2000||Median
,Group Total,200.0,,Mar 2000||Median
Southern Melbourne,Aspendale-Chelsea-Carrum,170.0,,Mar 2000||Median
,Bentleigh,200.0,,Mar 2000||Median
,Brighton,300.0,,Mar 2000||Median
,Brighton East,280.0,,Mar 2000||Median
,Carnegie,160.0,,Mar 2000||Median
,Caulfield,195.0,,Mar 2000||Median
,Cheltenham,190.0,,Mar 2000||Median
,Elsternwick,185.0,,Mar 2000||Median
,Hampton-Beaumaris,270.0,,Mar 2000||Median
,Malvern,210.0,,Mar 2000||Median
,Malvern East,220.0,,Mar 2000||Median
,Mentone-Parkdale-Mordialloc,165.0,,Mar 2000||Median
,Murrumbeena-Hughesdale,170.0,,Mar 2000||Median
,Group Total,195.0,,Mar 2000||Median
Outer Western Melbourne,Altona,165.0,,Mar 2000||Median
,Footscray,130.0,,Mar 2000||Median
,Keilor East-Avondale Heights,185.0,,Mar 2000||Median
,Melton,150.0,,Mar 2000||Median
,Newport-Spotswood,170.0,,Mar 2000||Median
,St Albans-Deer Park,150.0,,Mar 2000||Median
,Sunshine,135.0,,Mar 2000||Median
,Sydenham,200.0,,Mar 2000||Median
,Werribee-Hoppers Crossing,160.0,,Mar 2000||Median
,West Footscray,140.0,,Mar 2000||Median
,Williamstown,240.0,,Mar 2000||Median
,Yarraville-Seddon,175.0,,Mar 2000||Median
,Group Total,160.0,,Mar 2000||Median
North Western Melbourne,Broadmeadows-Roxburgh Park,162.0,,Mar 2000||Median
,Brunswick,180.0,,Mar 2000||Median
,Coburg-Pascoe Vale South,180.0,,Mar 2000||Median
,Craigieburn,175.0,,Mar 2000||Median
,East Brunswick,190.0,,Mar 2000||Median
,Essendon,170.0,,Mar 2000||Median
,Gladstone Park-Tullamarine,175.0,,Mar 2000||Median
,Keilor,230.0,,Mar 2000||Median
,Moonee Ponds-Ascot Vale,183.0,,Mar 2000||Median
,Oak Park-Glenroy-Fawkner,160.0,,Mar 2000||Median
,Pascoe Vale-Coburg North,170.0,,Mar 2000||Median
,Sunbury,165.0,,Mar 2000||Median
,West Brunswick,140.0,,Mar 2000||Median
,Group Total,170.0,,Mar 2000||Median
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,180.0,,Mar 2000||Median
,Eltham-Research-Montmorency,195.0,,Mar 2000||Median
,Fairfield-Alphington,150.0,,Mar 2000||Median
,Heidelberg-Heidelberg West,180.0,,Mar 2000||Median
,Ivanhoe-Ivanhoe East,185.0,,Mar 2000||Median
,Mill Park-Epping,180.0,,Mar 2000||Median
,Northcote,190.0,,Mar 2000||Median
,Preston,165.0,,Mar 2000||Median
,Reservoir,160.0,,Mar 2000||Median
,Thomastown-Lalor,160.0,,Mar 2000||Median
,Thornbury,150.0,,Mar 2000||Median
,Whittlesea,150.0,,Mar 2000||Median
,Group Total,170.0,,Mar 2000||Median
Outer Eastern Melbourne,Bayswater,155.0,,Mar 2000||Median
,Boronia,165.0,,Mar 2000||Median
,Croydon-Lilydale,165.0,,Mar 2000||Median
,Ferntree Gully,170.0,,Mar 2000||Median
,Ringwood,165.0,,Mar 2000||Median
,Rowville,200.0,,Mar 2000||Median
,Wantirna-Scoresby,200.0,,Mar 2000||Median
,Yarra Ranges,150.0,,Mar 2000||Median
,Group Total,170.0,,Mar 2000||Median
South Eastern Melbourne,Berwick,185.0,,Mar 2000||Median
,Cranbourne,155.0,,Mar 2000||Median
,Dandenong,130.0,,Mar 2000||Median
,Dandenong North-Endeavour Hills,160.0,,Mar 2000||Median
,Narre Warren-Hampton Park,165.0,,Mar 2000||Median
,Noble Park,140.0,,Mar 2000||Median
,Pakenham,155.0,,Mar 2000||Median
,Springvale,145.0,,Mar 2000||Median
,Group Total,150.0,,Mar 2000||Median
Mornington Peninsula,Dromana-Portsea,135.0,,Mar 2000||Median
,Frankston,150.0,,Mar 2000||Median
,Hastings-Flinders,140.0,,Mar 2000||Median
,Mt Eliza-Mornington-Mt Martha,170.0,,Mar 2000||Median
,Seaford-Carrum Downs,150.0,,Mar 2000||Median
,Group Total,150.0,,Mar 2000||Median
Geelong,Belmont-Grovedale,150.0,,Mar 2000||Median
,Corio,125.0,,Mar 2000||Median
,Geelong-Newcombe,135.0,,Mar 2000||Median
,Herne Hill-Geelong West,120.0,,Mar 2000||Median
,Lara,160.0,,Mar 2000||Median
,Newtown,140.0,,Mar 2000||Median
,North Geelong,135.0,,Mar 2000||Median
,Group Total,135.0,,Mar 2000||Median
Ballarat,Ballarat,135.0,,Mar 2000||Median
,Mount Clear-Buninyong,140.0,,Mar 2000||Median
,Sebastopol-Delacombe,130.0,,Mar 2000||Median
,Wendouree-Alfredton,130.0,,Mar 2000||Median
,Group Total,135.0,,Mar 2000||Median
Bendigo,Bendigo,130.0,,Mar 2000||Median
,Flora Hill-Bendigo East,140.0,,Mar 2000||Median
,Golden Square-Kangaroo Flat,145.0,,Mar 2000||Median
,North Bendigo,130.0,,Mar 2000||Median
,Group Total,135.0,,Mar 2000||Median
Other Regional Centres,Bairnsdale,127.0,,Mar 2000||Median
,Benalla,120.0,,Mar 2000||Median
,Castlemaine,125.0,,Mar 2000||Median
,Echuca,150.0,,Mar 2000||Median
,Hamilton,110.0,,Mar 2000||Median
,Horsham,120.0,,Mar 2000||Median
,Mildura,140.0,,Mar 2000||Median
,Moe-Newborough,95.0,,Mar 2000||Median
,Morwell,100.0,,Mar 2000||Median
,Ocean Grove-Barwon Heads,150.0,,Mar 2000||Median
,Portland,110.0,,Mar 2000||Median
,Sale-Maffra,120.0,,Mar 2000||Median
,Seymour,125.0,,Mar 2000||Median
,Shepparton,140.0,,Mar 2000||Median
,Swan Hill,130.0,,Mar 2000||Median
,Torquay,155.0,,Mar 2000||Median
,Traralgon,125.0,,Mar 2000||Median
,Wanagaratta,125.0,,Mar 2000||Median
,Warragul,130.0,,Mar 2000||Median
,Warrnambool,130.0,,Mar 2000||Median
,Wodonga,145.0,,Mar 2000||Median
,Group Total,130.0,,Mar 2000||Median
Inner Melbourne,Albert Park-Middle Park-West St Kilda,1134.0,,Jun 2000||Count
,Armadale,737.0,,Jun 2000||Count
,Carlton North,814.0,,Jun 2000||Count
,Carlton-Parkville,1278.0,,Jun 2000||Count
,CBD-St Kilda Rd,2263.0,,Jun 2000||Count
,Collingwood-Abbotsford,637.0,,Jun 2000||Count
,Docklands,10.0,,Jun 2000||Count
,East Melbourne,488.0,,Jun 2000||Count
,East St Kilda,1744.0,,Jun 2000||Count
,Elwood,1680.0,,Jun 2000||Count
,Fitzroy,656.0,,Jun 2000||Count
,Fitzroy North-Clifton Hill,1132.0,,Jun 2000||Count
,Flemington-Kensington,1003.0,,Jun 2000||Count
,North Melbourne-West Melbourne,958.0,,Jun 2000||Count
,Port Melbourne,725.0,,Jun 2000||Count
,Prahran-Windsor,1669.0,,Jun 2000||Count
,Richmond-Burnley,2063.0,,Jun 2000||Count
,South Melbourne,526.0,,Jun 2000||Count
,South Yarra,2414.0,,Jun 2000||Count
,Southbank,697.0,,Jun 2000||Count
,St Kilda,2650.0,,Jun 2000||Count
,Toorak,940.0,,Jun 2000||Count
,Group Total,26218.0,,Jun 2000||Count
Inner Eastern Melbourne,Balwyn,817.0,,Jun 2000||Count
,Blackburn,626.0,,Jun 2000||Count
,Box Hill,1211.0,,Jun 2000||Count
,Bulleen-Templestowe-Doncaster,1059.0,,Jun 2000||Count
,Burwood-Ashburton,675.0,,Jun 2000||Count
,Camberwell-Glen Iris,1489.0,,Jun 2000||Count
,Canterbury-Surrey Hills-Mont Albert,720.0,,Jun 2000||Count
,Chadstone-Oakleigh,818.0,,Jun 2000||Count
,Clayton,1234.0,,Jun 2000||Count
,Doncaster East-Donvale,869.0,,Jun 2000||Count
,East Hawthorn,749.0,,Jun 2000||Count
,Glen Waverley-Mulgrave,1404.0,,Jun 2000||Count
,Hawthorn,1650.0,,Jun 2000||Count
,Kew,1236.0,,Jun 2000||Count
,Mount Waverley,698.0,,Jun 2000||Count
,Nunawading-Mitcham,721.0,,Jun 2000||Count
,Vermont-Forest Hill-Burwood East,683.0,,Jun 2000||Count
,Group Total,16659.0,,Jun 2000||Count
Southern Melbourne,Aspendale-Chelsea-Carrum,1419.0,,Jun 2000||Count
,Bentleigh,1427.0,,Jun 2000||Count
,Brighton,768.0,,Jun 2000||Count
,Brighton East,353.0,,Jun 2000||Count
,Carnegie,998.0,,Jun 2000||Count
,Caulfield,1673.0,,Jun 2000||Count
,Cheltenham,1234.0,,Jun 2000||Count
,Elsternwick,572.0,,Jun 2000||Count
,Hampton-Beaumaris,836.0,,Jun 2000||Count
,Malvern,460.0,,Jun 2000||Count
,Malvern East,710.0,,Jun 2000||Count
,Mentone-Parkdale-Mordialloc,1184.0,,Jun 2000||Count
,Murrumbeena-Hughesdale,818.0,,Jun 2000||Count
,Group Total,12452.0,,Jun 2000||Count
Outer Western Melbourne,Altona,1519.0,,Jun 2000||Count
,Footscray,733.0,,Jun 2000||Count
,Keilor East-Avondale Heights,638.0,,Jun 2000||Count
,Melton,673.0,,Jun 2000||Count
,Newport-Spotswood,638.0,,Jun 2000||Count
,St Albans-Deer Park,1281.0,,Jun 2000||Count
,Sunshine,987.0,,Jun 2000||Count
,Sydenham,580.0,,Jun 2000||Count
,Werribee-Hoppers Crossing,1774.0,,Jun 2000||Count
,West Footscray,734.0,,Jun 2000||Count
,Williamstown,589.0,,Jun 2000||Count
,Yarraville-Seddon,940.0,,Jun 2000||Count
,Group Total,11086.0,,Jun 2000||Count
North Western Melbourne,Broadmeadows-Roxburgh Park,619.0,,Jun 2000||Count
,Brunswick,1942.0,,Jun 2000||Count
,Coburg-Pascoe Vale South,937.0,,Jun 2000||Count
,Craigieburn,226.0,,Jun 2000||Count
,East Brunswick,364.0,,Jun 2000||Count
,Essendon,1559.0,,Jun 2000||Count
,Gladstone Park-Tullamarine,498.0,,Jun 2000||Count
,Keilor,76.0,,Jun 2000||Count
,Moonee Ponds-Ascot Vale,1198.0,,Jun 2000||Count
,Oak Park-Glenroy-Fawkner,1085.0,,Jun 2000||Count
,Pascoe Vale-Coburg North,694.0,,Jun 2000||Count
,Sunbury,547.0,,Jun 2000||Count
,West Brunswick,695.0,,Jun 2000||Count
,Group Total,10440.0,,Jun 2000||Count
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,1479.0,,Jun 2000||Count
