Region,Suburb,Value,Date,Measure,Date_dt
Inner Melbourne,Albert Park-Middle Park-West St Kilda,352.0,Mar 2000,Count,2000-03-01
,Armadale,210.0,Mar 2000,Count,2000-03-01
,Carlton North,87.0,Mar 2000,Count,2000-03-01
,Carlton-Parkville,298.0,Mar 2000,Count,2000-03-01
,CBD-St Kilda Rd,755.0,Mar 2000,Count,2000-03-01
,Collingwood-Abbotsford,130.0,Mar 2000,Count,2000-03-01
,Docklands,,Mar 2000,Count,2000-03-01
,East Melbourne,203.0,Mar 2000,Count,2000-03-01
,East St Kilda,616.0,Mar 2000,Count,2000-03-01
,Elwood,585.0,Mar 2000,Count,2000-03-01
,Fitzroy,176.0,Mar 2000,Count,2000-03-01
,Fitzroy North-Clifton Hill,163.0,Mar 2000,Count,2000-03-01
,Flemington-Kensington,215.0,Mar 2000,Count,2000-03-01
,North Melbourne-West Melbourne,159.0,Mar 2000,Count,2000-03-01
,Port Melbourne,47.0,Mar 2000,Count,2000-03-01
,Prahran-Windsor,484.0,Mar 2000,Count,2000-03-01
,Richmond-Burnley,529.0,Mar 2000,Count,2000-03-01
,South Melbourne,70.0,Mar 2000,Count,2000-03-01
,South Yarra,976.0,Mar 2000,Count,2000-03-01
,Southbank,83.0,Mar 2000,Count,2000-03-01
,St Kilda,1317.0,Mar 2000,Count,2000-03-01
,Toorak,290.0,Mar 2000,Count,2000-03-01
,Group Total,7746.0,Mar 2000,Count,2000-03-01
Inner Eastern Melbourne,Balwyn,12.0,Mar 2000,Count,2000-03-01
,Blackburn,52.0,Mar 2000,Count,2000-03-01
,Box Hill,75.0,Mar 2000,Count,2000-03-01
,Bulleen-Templestowe-Doncaster,36.0,Mar 2000,Count,2000-03-01
,Burwood-Ashburton,51.0,Mar 2000,Count,2000-03-01
,Camberwell-Glen Iris,171.0,Mar 2000,Count,2000-03-01
,Canterbury-Surrey Hills-Mont Albert,,Mar 2000,Count,2000-03-01
,Chadstone-Oakleigh,11.0,Mar 2000,Count,2000-03-01
,Clayton,45.0,Mar 2000,Count,2000-03-01
,Doncaster East-Donvale,23.0,Mar 2000,Count,2000-03-01
,East Hawthorn,128.0,Mar 2000,Count,2000-03-01
,Glen Waverley-Mulgrave,10.0,Mar 2000,Count,2000-03-01
,Hawthorn,475.0,Mar 2000,Count,2000-03-01
,Kew,72.0,Mar 2000,Count,2000-03-01
,Mount Waverley,14.0,Mar 2000,Count,2000-03-01
,Nunawading-Mitcham,48.0,Mar 2000,Count,2000-03-01
,Vermont-Forest Hill-Burwood East,14.0,Mar 2000,Count,2000-03-01
,Group Total,1246.0,Mar 2000,Count,2000-03-01
Southern Melbourne,Aspendale-Chelsea-Carrum,105.0,Mar 2000,Count,2000-03-01
,Bentleigh,153.0,Mar 2000,Count,2000-03-01
,Brighton,29.0,Mar 2000,Count,2000-03-01
,Brighton East,,Mar 2000,Count,2000-03-01
,Carnegie,344.0,Mar 2000,Count,2000-03-01
,Caulfield,336.0,Mar 2000,Count,2000-03-01
,Cheltenham,50.0,Mar 2000,Count,2000-03-01
,Elsternwick,183.0,Mar 2000,Count,2000-03-01
,Hampton-Beaumaris,31.0,Mar 2000,Count,2000-03-01
,Malvern,96.0,Mar 2000,Count,2000-03-01
,Malvern East,83.0,Mar 2000,Count,2000-03-01
,Mentone-Parkdale-Mordialloc,270.0,Mar 2000,Count,2000-03-01
,Murrumbeena-Hughesdale,271.0,Mar 2000,Count,2000-03-01
,Group Total,1960.0,Mar 2000,Count,2000-03-01
Outer Western Melbourne,Altona,87.0,Mar 2000,Count,2000-03-01
,Footscray,169.0,Mar 2000,Count,2000-03-01
