Region,Suburb,Value,Date,Measure,Date_period,Date_quarter,Date_dt,PropertyType
Inner Melbourne,Albert Park-Middle Park-West St Kilda,352.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Armadale,210.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Carlton North,87.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Carlton-Parkville,298.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,CBD-St Kilda Rd,755.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Collingwood-Abbotsford,130.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Docklands,,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,East Melbourne,203.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,East St Kilda,616.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Elwood,585.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Fitzroy,176.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Fitzroy North-Clifton Hill,163.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Flemington-Kensington,215.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,North Melbourne-West Melbourne,159.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Port Melbourne,47.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Prahran-Windsor,484.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Richmond-Burnley,529.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,South Melbourne,70.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,South Yarra,976.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Southbank,83.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,St Kilda,1317.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Toorak,290.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Group Total,7746.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
Inner Eastern Melbourne,Balwyn,12.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Blackburn,52.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Box Hill,75.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Bulleen-Templestowe-Doncaster,36.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Burwood-Ashburton,51.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
